Category,Subject,Level 1 (Initial),Level 2 (Repeatable),Level 3 (Defined),Level 4 (Managed / Capable),Level 5 (Optimized)
프로세스,,,,,,
,지속적 성장,"개인적으로 업무를 보며, 가끔 개인 노트를 작성합니다","목표지향적으로 움직이며, 주요 오퍼레이션 이후 얼마나 발전했는지 알아보기 위해 사후 분석 및 회고를 합니다. 팀의 부족한 부분에 대한 전반적인 이해가 있으며, 이를 해결하기 위한 대략적인 계획이 있습니다 ",주기적으로 레드팀 오퍼레이션 외 다른 업무들에 대한 사후 분석 및 회고를 진행합니다. 팀의 개선 사항과 운영 목표를 달성하기 위한 명확한 로드맵을 갖고 있습니다,"로드맵 목표들에 대한 진행 상황을 모니터링 하기 위한 지표가 있습니다. 개선 사항은 때때로 달성되며, 발견된 문제와 달성하고자 하는 목표에 기반한 업무들이 만들어집니다",레드팀 기회에 대해 논의하고 현 방향을 유지할지 혹은 피벗할지 결정합니다. 사후 검토를 통해 프로세스 및 오퍼레이션 개선 사항을 일관되게 도출합니다. 보안 조직 계획 수립 시 레드팀 로드맵이 반영됩니다
,지식 베이스,필요에 따라 지식을 공유하기 위한 미팅/세션을 진행합니다,체계없는 기록과 문서들이 여러 장소 또는 매체에 저장되어 있습니다,"팀 전체가 사용하는 지식 베이스가 있지만, 불규칙적으로 업데이트 됩니다","팀 전체가 사용하는 하드닝된 지식 베이스가 있고, 자주 하는 업무 및 필요 사항들을 문서화 해놨습니다","팀 전체가 사용하고 안전하게 관리되고 있는 지식 베이스를 보유하고 있으며, 정기적으로 효용성을 검토하고 레드팀의 모든 활동 과정에서 주기적으로 이를 업데이트합니다"
,업무 관리,팀원들이 개인적으로 서로 다른 목표를 정하고 실행합니다,"운영 목표와 발전 목표를 이해하고 있지만, 해당 목표들을 관리하거나 책임을 지는 인원은 없습니다","현재와 미래 업무에 관련된 로드맵을 가지고 있으며, 리더쉽이 책임을 집니다","업무 관리를 위한 플랫폼을 사용하며, 성과 측정 기준을 명확히 이해하고 있습니다. 리더쉽의 감시 없이도 팀원 스스로 목표 달성에 대한 책임을 집니다",팀원들은 팀 내 다른 활동에 대한 깊은 이해가 있어 필요시 협업하거나 중요 영역에서 역량을 집중할 수 있습니다. 팀 전체가 인지하고 있는 백로그(backlog)를 기반으로 자기주도적으로 작업할 수 있도록 작업 관리 플랫폼이 효과적으로 활용되고 있습니다
,오퍼레이션 계획 및 선정,"오퍼레이션 목표는 개인의 의견이나 긴급한 필요에 의해 결정되며, 팀 전체의 의견이 포함되지 않습니다. 오퍼레이션은 시작 전 몇 주 동안 계획됩니다",회사의 주요 서비스 및 인프라를 대상으로 오퍼레이션을 진행합니다,"위협 인텔리전스를 활용해 오퍼레이션 목표를 만들어내며, 적어도 1분기 동안 계획합니다. 오퍼레이션과 관련된 제안 사항 및 요구 사항을 받아드리는 명확한 절차를 갖고 있습니다","블루팀(사이버 위협 인텔리전스, 침해 대응, 위협 헌팅)과  IT 운영팀의 고민, 우려, 문제를 반영해 오퍼레이션이 계획 되며, 적어도 2분기 이상의 계획 기간을 갖습니다","비즈니스적 필요성, 위협 인텔리전스, 중요도, 조직에서 정의한 기준등에 관련된 객관적인 지표를 바탕으로 오퍼레이션이 계획됩니다. 긴급한 문제를 해결하기 위해 비정기적으로 긴급 오퍼레이션이 수행될 수 있지만, 이는 다른 업무 산출물에 영향을 주지 않습니다.  "
,오퍼레이션 문서화,업무와 관련된 노트를 개인이 작성해 보관합니다,툴들이 만들어낸 로그를 바탕으로 문서화 합니다,"문서 또는 로그를 수동으로 작성하거나, 툴들의 ""내보내기"" 기능을 사용합니다","행위 및 로그는 중앙화된 위치에 저장되며, 약간의 문서화/로깅 자동화가 존재합니다","레드팀 활동은 중앙 저장소에 문서화/기록 되며, 침해지표(IoC)와 행위에 대한 자동 보고 기능이 존재합니다 "
,구성 관리,"소스코드, 인프라 구성 ,문서화, 툴을 일관성 없이 다양한 곳에 보관합니다","소스코드, 인프라 구성 ,문서화, 툴을 지정된 위치에 보관하지만, 버전 관리는 없습니다","업계 표준의 코드 저장소 및 버전 관리 툴을 사용하며, 각각 항목들에 대한 버전 관리가 이뤄집니다","Merge, Pull 리퀘스트와 비슷한 방식의 방법으로 검증된 버전 관리를 진행합니다",자동화된 CI/CD 프로세스를 활용해 신속한 배포와 품질 유지를 실현합니다
,자원 관리,"라이센스, 계정 정보, 도메인 등의 자원들이 관리되고 있지 않으며, 소유권은 여러 사람에게 분산되어 있습니다","한명의 담당자가 자원을 관리하지만, 이와 관련된 정보가 전체 팀에게 공유되어 있지 않습니다","중앙화된 방식으로 자원들이 관리되며, 레드팀에 필요한 계정 정보들은 안전하게 보관됩니다","정기적인 비용, 자원의 필요, 혹은 만료 여부를 분기별로 검토합니다",관리/트래킹 체계를 통해 앞으로 30일 내에 처리해야할 작업을 알람 등으로 명확히 표시합니다
기술,,,,,,
,툴링 (Tooling),"이미 존재하는 툴을 그대로 사용하고, 간단한 커스텀 스크립트를 제작할 수 있습니다. 오퍼레이션에 필요한 요구 사항을 툴링으로 해결 할 수 없는 상태입니다","현존하는 툴을 수정하고 사용할 수 있는 정도의 역량을 갖췄습니다. 최신 버전의 C2 프레임워크들이 운영되고 있으며, 오퍼레이션에 필요한 요구 사항을 충족합니다","개발, 혹은 사용하는 툴들이 오퍼레이션의 주요 요구 사항을 충족합니다",오퍼레이션 요구 사항을 달성하기 위한 커스텀 툴을 개발하거나 현존하는 툴들을 수정합니다. 일상적인 업무 처리를 위한 자동화나 대규모 실행이 가능합니다,"커스텀 또는 기타 툴로 레드팀 오퍼레이션의 모든 요구사항을 충족할 수 있으며, 오퍼레이션상 필요할 때 커스텀 C2 프레임워크를 사용합니다 "
